NO,ph,distance,arus,unixtime,time
2132,0,0,0,1748804835,6/2/2025 2:07
2133,5.13,0,0,1748830024,6/2/2025 9:07
2134,9.03061,0,0,1748804836,6/2/2025 2:07
2135,6.44034,0,0,1748804839,6/2/2025 2:07
2136,8.71978,0,0,1748804842,6/2/2025 2:07
2137,9.61774,0,0,1748804845,6/2/2025 2:07
2138,8.46075,0,0,1748804848,6/2/2025 2:07
2139,7.35557,0.15622,0,1748804851,6/2/2025 2:07
2140,9.82496,0,0,1748804855,6/2/2025 2:07
2141,9.51413,30.1107,0,1748804858,6/2/2025 2:07
2142,7.44191,49.5911,0,1748804861,6/2/2025 2:07
2143,7.63187,137.143,0,1748804864,6/2/2025 2:07
2144,9.65228,159.499,0,1748804867,6/2/2025 2:07
2145,9.635,0,0,1748804870,6/2/2025 2:07
2146,7.14835,97.6577,0,1748804873,6/2/2025 2:07
2147,9.13422,0.208448,0,1748804876,6/2/2025 2:07
2148,9.87677,0,0,1748804880,6/2/2025 2:08
2149,8.84066,0,0,1748804883,6/2/2025 2:08
2150,7.78728,0,0,1748804886,6/2/2025 2:08
2151,10.343,0,0,1748804889,6/2/2025 2:08
2152,7.85636,0,0,1748804892,6/2/2025 2:08
2153,9.51413,0,0,1748804895,6/2/2025 2:08
2154,10.2049,0,0,1748804898,6/2/2025 2:08
2155,10.1703,101.648,0,1748804905,6/2/2025 2:08
2156,8.2708,10.2668,0,1748804908,6/2/2025 2:08
2157,9.51413,7.74045,0,1748804911,6/2/2025 2:08
2158,10.0494,0,0,1748804914,6/2/2025 2:08
2159,7.30377,0,0,1748804917,6/2/2025 2:08
2160,10.2912,0,0,1748804920,6/2/2025 2:08
2161,7.49372,0,0,1748804923,6/2/2025 2:08
2162,10.3085,105.157,0,1748804926,6/2/2025 2:08
2163,7.85636,2.46954,0,1748804930,6/2/2025 2:08
2164,9.99764,24.0111,0,1748804933,6/2/2025 2:08
2165,8.87519,76.6874,0,1748804936,6/2/2025 2:08
2166,9.65228,116.645,0,1748804939,6/2/2025 2:08
2167,9.98038,0,0,1748804942,6/2/2025 2:09
2168,9.16876,0,0,1748804945,6/2/2025 2:09
2169,9.82496,0,0,1748804948,6/2/2025 2:09
2170,8.23626,0,0,1748804951,6/2/2025 2:09
2171,10.2739,0,0,1748804955,6/2/2025 2:09
2172,7.16562,0,0,1748804958,6/2/2025 2:09
2173,10.4121,0,0,1748804961,6/2/2025 2:09
2174,7.6146,0,0,1748804964,6/2/2025 2:09
2175,10.533,0,0,1748804967,6/2/2025 2:09
2176,7.13108,0,0,1748804970,6/2/2025 2:09
2177,10.2912,0,0,1748804973,6/2/2025 2:09
2178,7.47645,0,0,1748804976,6/2/2025 2:09
2179,10.4466,0,0,1748804980,6/2/2025 2:09
2180,7.52825,0,0,1748804983,6/2/2025 2:09
2181,10.2912,0,0,1748804986,6/2/2025 2:09
2182,7.54552,0,0,1748804989,6/2/2025 2:09
2183,9.92857,0,0,1748804992,6/2/2025 2:09
2184,8.63344,0,0,1748804995,6/2/2025 2:09
2185,9.89403,0,0,1748804998,6/2/2025 2:09
2186,9.49686,0,0,1748805001,6/2/2025 2:10
2187,9.06515,0,0,1748805005,6/2/2025 2:10
2188,10.3085,0,0,1748805008,6/2/2025 2:10
2189,7.16562,0,0,1748805011,6/2/2025 2:10
2190,10.0667,0,0,1748805014,6/2/2025 2:10
2191,7.78728,0,0,1748805017,6/2/2025 2:10
2192,10.0667,0,0,1748805020,6/2/2025 2:10
2193,8.52983,0,0,1748805023,6/2/2025 2:10
2194,8.96154,0,0,1748805027,6/2/2025 2:10
2195,9.75589,0,0,1748805030,6/2/2025 2:10
2196,7.82182,0,0,1748805033,6/2/2025 2:10
2197,9.89403,0,0,1748805036,6/2/2025 2:10
2198,6.94113,0,0,1748805039,6/2/2025 2:10
2199,11.3964,0,0,1748805042,6/2/2025 2:10
2200,7.37284,0,0,1748805045,6/2/2025 2:10
2201,9.77316,0,0,1748805048,6/2/2025 2:10
2202,9.46232,0,0,1748805052,6/2/2025 2:10
2203,7.82182,0,0,1748805055,6/2/2025 2:10
2204,10.0667,0,0,1748805058,6/2/2025 2:10
2205,7.18289,0,0,1748805061,6/2/2025 2:11
2206,9.73862,0,0,1748805064,6/2/2025 2:11
2207,9.37598,0,0,1748805067,6/2/2025 2:11
2208,8.2708,0,0,1748805070,6/2/2025 2:11
2209,10.1012,0,0,1748805073,6/2/2025 2:11
2210,7.25196,0,0,1748805077,6/2/2025 2:11
2211,9.99764,0,0,1748805080,6/2/2025 2:11
2212,7.58006,0,0,1748805083,6/2/2025 2:11
2213,9.84223,0,0,1748805086,6/2/2025 2:11
2214,9.72135,0,0,1748805089,6/2/2025 2:11
2215,8.20172,0,0,1748805092,6/2/2025 2:11
2216,10.1876,0,0,1748805095,6/2/2025 2:11
2217,7.47645,0,0,1748805098,6/2/2025 2:11
2218,9.98038,0,0,1748805102,6/2/2025 2:11
2219,8.2708,0,0,1748805105,6/2/2025 2:11
2220,10.1185,0,0,1748805108,6/2/2025 2:11
2221,9.28964,0,0,1748805111,6/2/2025 2:11
2222,9.82496,0,0,1748805114,6/2/2025 2:11
2223,9.16876,0,0,1748805117,6/2/2025 2:11
2224,9.73862,0,0,1748805120,6/2/2025 2:12
2225,10.3776,0,0,1748805124,6/2/2025 2:12
2226,4.79984,0,0,1748805127,6/2/2025 2:12
2227,7.87363,0,0,1748805130,6/2/2025 2:12
2228,7.56279,0,0,1748805133,6/2/2025 2:12
2229,25.1939,0,0,1748805136,6/2/2025 2:12
2230,-12.0714,0,0,1748805139,6/2/2025 2:12
2231,3.36656,0,0,1748805142,6/2/2025 2:12
2232,8.04631,0,0,1748805145,6/2/2025 2:12
2233,-3.95526,0,0,1748805148,6/2/2025 2:12
2234,5.92229,0,0,1748805152,6/2/2025 2:12
2235,7.78728,0,0,1748805155,6/2/2025 2:12
2236,-3.52355,0,0,1748805158,6/2/2025 2:12
2237,8.08085,0,0,1748805161,6/2/2025 2:12
2238,12.5016,0,0,1748805164,6/2/2025 2:12
2239,-8.72135,0,0,1748805167,6/2/2025 2:12
2240,11.949,0,0,1748805170,6/2/2025 2:12
2241,-0.035325,0,0,1748805173,6/2/2025 2:12
2242,-0.311618,0,0,1748805177,6/2/2025 2:12
2243,16.5251,0,0,1748805180,6/2/2025 2:13
2244,-4.81869,0,0,1748805183,6/2/2025 2:13
2245,4.97253,0,0,1748805186,6/2/2025 2:13
2246,15.1264,0,0,1748805189,6/2/2025 2:13
2247,-9.86107,0,0,1748805192,6/2/2025 2:13
2248,10.4812,0,0,1748805195,6/2/2025 2:13
2249,13.0196,0,0,1748805198,6/2/2025 2:13
2250,-5.09498,0,0,1748805202,6/2/2025 2:13
2251,16.9741,0,0,1748805205,6/2/2025 2:13
2252,-7.37441,0,0,1748805208,6/2/2025 2:13
2253,13.8658,0,0,1748805211,6/2/2025 2:13
2254,5.05887,0,0,1748805214,6/2/2025 2:13
2255,8.97881,0,0,1748805217,6/2/2025 2:13
2256,9.84223,0,0,1748805220,6/2/2025 2:13
2257,7.20016,0,0,1748805224,6/2/2025 2:13
2258,9.18603,0,0,1748805227,6/2/2025 2:13
2259,10.6538,0,0,1748805230,6/2/2025 2:13
2260,9.61774,0,0,1748805233,6/2/2025 2:13
2261,8.44349,0,0,1748805236,6/2/2025 2:13
2262,12.9333,0,0,1748805239,6/2/2025 2:13
2263,6.64756,0,0,1748805242,6/2/2025 2:14
2264,12.5188,0,0,1748805245,6/2/2025 2:14
2265,5.61146,0,0,1748805249,6/2/2025 2:14
2266,15.5581,0,0,1748805252,6/2/2025 2:14
2267,3.67739,0,0,1748805255,6/2/2025 2:14
2268,18.8909,0,0,1748805258,6/2/2025 2:14
2269,1.17347,0,0,1748805261,6/2/2025 2:14
2270,16.905,0,0,1748805264,6/2/2025 2:14
2271,3.43563,0,0,1748805267,6/2/2025 2:14
2272,15.1782,0,0,1748805270,6/2/2025 2:14
2273,2.31319,0,0,1748805274,6/2/2025 2:14
2274,16.0416,0,0,1748805277,6/2/2025 2:14
2275,0.845369,0,0,1748805280,6/2/2025 2:14
2276,17.7339,0,0,1748805283,6/2/2025 2:14
2277,1.46703,0,0,1748805286,6/2/2025 2:14
2278,16.6633,0,0,1748805289,6/2/2025 2:14
2279,-1.71036,0,0,1748805292,6/2/2025 2:14
2280,15.8171,0,0,1748805295,6/2/2025 2:14
2281,-2.91915,0,0,1748805299,6/2/2025 2:14
2282,15.5753,0,0,1748805302,6/2/2025 2:15
2283,-2.22842,0,0,1748805305,6/2/2025 2:15
2284,14.522,0,0,1748805308,6/2/2025 2:15
2285,-0.518838,0,0,1748805311,6/2/2025 2:15
2286,11.0683,0,0,1748805314,6/2/2025 2:15
2287,8.33988,0,0,1748805317,6/2/2025 2:15
2288,6.42308,0,0,1748805320,6/2/2025 2:15
2289,15.6272,0,0,1748805324,6/2/2025 2:15
2290,-1.62402,0,0,1748805327,6/2/2025 2:15
2291,14.7292,0,0,1748805330,6/2/2025 2:15
2292,1.06986,0,0,1748805333,6/2/2025 2:15
2293,10.4466,0,0,1748805336,6/2/2025 2:15
2294,8.16719,0,0,1748805339,6/2/2025 2:15
2295,8.52983,0,0,1748805342,6/2/2025 2:15
2296,11.051,0,0,1748805345,6/2/2025 2:15
2297,6.33673,0,0,1748805349,6/2/2025 2:15
2298,15.6272,0,0,1748805352,6/2/2025 2:15
2299,2.05416,0,0,1748805355,6/2/2025 2:15
2300,18.0102,0,0,1748805358,6/2/2025 2:15
2301,-0.035325,0,0,1748805361,6/2/2025 2:16
2302,16.1452,0,0,1748805364,6/2/2025 2:16
2303,1.53611,0,0,1748805367,6/2/2025 2:16
2304,11.9317,0,0,1748805371,6/2/2025 2:16
2305,10.3085,0,0,1748805374,6/2/2025 2:16
2306,7.83909,0,0,1748805377,6/2/2025 2:16
2307,14.6601,0,0,1748805380,6/2/2025 2:16
2308,3.7292,0,0,1748805383,6/2/2025 2:16
2309,18.77,0,0,1748805386,6/2/2025 2:16
2310,0.914443,0,0,1748805389,6/2/2025 2:16
2311,17.3885,0,0,1748805392,6/2/2025 2:16
2312,0.862638,0,0,1748805396,6/2/2025 2:16
2313,17.2159,0,0,1748805399,6/2/2025 2:16
2314,-0.985088,0,0,1748805402,6/2/2025 2:16
2315,14.5565,0,0,1748805405,6/2/2025 2:16
2316,4.31633,0,0,1748805408,6/2/2025 2:16
2317,10.8956,0,0,1748805411,6/2/2025 2:16
2318,8.73705,0,0,1748805414,6/2/2025 2:16
2319,8.13265,0,0,1748805417,6/2/2025 2:16
2320,15.938,0,0,1748805421,6/2/2025 2:17
2321,0.310046,0,0,1748805424,6/2/2025 2:17
2322,14.9192,0,0,1748805427,6/2/2025 2:17
2323,6.44034,0,0,1748805430,6/2/2025 2:17
2324,7.9427,0,0,1748805433,6/2/2025 2:17
2325,18.3383,0,0,1748805436,6/2/2025 2:17
2326,-0.311618,0,0,1748805439,6/2/2025 2:17
2327,11.5518,0,0,1748805442,6/2/2025 2:17
2328,16.5942,0,0,1748805446,6/2/2025 2:17
2329,-1.81397,0,0,1748805449,6/2/2025 2:17
2330,13.7104,0,0,1748805452,6/2/2025 2:17
2331,11.3101,0,0,1748805455,6/2/2025 2:17
2332,2.26138,0,0,1748805458,6/2/2025 2:17
2333,16.2143,0,0,1748805461,6/2/2025 2:17
2334,7.51099,0,0,1748805464,6/2/2025 2:17
2335,5.31789,0,0,1748805467,6/2/2025 2:17
2336,17.4749,0,0,1748805471,6/2/2025 2:17
2337,2.24411,0,0,1748805474,6/2/2025 2:17
2338,7.78728,0,0,1748805477,6/2/2025 2:17
2339,15.5408,0,0,1748805480,6/2/2025 2:18
2340,6.49215,0,0,1748805483,6/2/2025 2:18
2341,5.0416,0,0,1748805486,6/2/2025 2:18
2342,14.7983,0,0,1748805489,6/2/2025 2:18
2343,7.02747,0,0,1748805492,6/2/2025 2:18
2344,5.6978,0,0,1748805496,6/2/2025 2:18
2345,14.4874,0,0,1748805499,6/2/2025 2:18
2346,6.82025,0,0,1748805502,6/2/2025 2:18
2347,7.54552,0,0,1748805505,6/2/2025 2:18
2348,14.4702,0,0,1748805508,6/2/2025 2:18
2349,3.26295,0,0,1748805511,6/2/2025 2:18
2350,14.8846,0,0,1748805514,6/2/2025 2:18
2351,2.55494,0,0,1748805517,6/2/2025 2:18
2352,12.0526,0,0,1748805521,6/2/2025 2:18
2353,9.68681,0,0,1748805524,6/2/2025 2:18
2354,7.23469,0,0,1748805527,6/2/2025 2:18
2355,14.4529,0,0,1748805530,6/2/2025 2:18
2356,2.83124,0,0,1748805533,6/2/2025 2:18
2357,14.4529,0,0,1748805536,6/2/2025 2:18
2358,1.8124,0,0,1748805539,6/2/2025 2:18
2359,12.5361,0,0,1748805542,6/2/2025 2:19
2360,3.95369,0,0,1748805546,6/2/2025 2:19
2361,12.5879,0,0,1748805549,6/2/2025 2:19
2362,7.26923,0,0,1748805552,6/2/2025 2:19
2363,9.23783,0,0,1748805555,6/2/2025 2:19
2364,12.3462,0,0,1748805558,6/2/2025 2:19
2365,5.71507,0,0,1748805561,6/2/2025 2:19
2366,15.0055,0,0,1748805564,6/2/2025 2:19
2367,4.04003,0,0,1748805567,6/2/2025 2:19
2368,15.5753,0,0,1748805571,6/2/2025 2:19
